Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
746452876,"16 Oct 2016, 06:58:44",Morning Ride,Ride,,15898,86.91,160,false,,activities/824139731.tcx.gz
752251944,"22 Oct 2016, 10:52:22",Lunch Run,Run,,3938,10.35,33,false,,activities/831129772.fit.gz
759223712,"19 Oct 2016, 05:46:22",Morning Ride,Ride,,2217,14.20,,false,,activities/839201572.tcx.gz
759224203,"29 Oct 2016, 08:07:41",Morning Ride,Ride,,12740,76.06,224,false,,activities/839202082.tcx.gz
760198907,"30 Oct 2016, 07:48:37",Morning Ride,Ride,,7882,50.87,70,false,,activities/840323703.tcx.gz
767749684,"6 Nov 2016, 08:30:55",Morning Ride,Ride,,18096,83.15,102,false,,activities/849074667.tcx.gz
779658433,"19 Nov 2016, 07:54:45",Morning Ride,Ride,,15884,91.05,300,false,,activities/862983007.tcx.gz
781145432,"20 Nov 2016, 09:41:38",Morning Ride,Ride,,17397,100.92,329,false,,activities/864726920.tcx.gz
787027506,"27 Nov 2016, 08:19:45",Morning Ride,Ride,,15889,85.18,218,false,,activities/871468697.tcx.gz
792953389,"2 Dec 2016, 09:05:01",Morning Run,Run,,3269,5.91,9,false,,activities/878132904.fit.gz
792953475,"4 Dec 2016, 07:36:42",Morning Run,Run,,2534,6.38,,false,,activities/878132992.fit.gz
798548657,"10 Dec 2016, 08:16:48",Morning Ride,Ride,,18425,103.00,134,false,,activities/884457218.tcx.gz
798549263,"28 Nov 2016, 18:32:49",Evening Ride,Ride,,213,0,0,false,,activities/884457118.tcx.gz
798549291,"28 Nov 2016, 18:37:08",Evening Ride,Ride,,2934,21.78,30,false,,activities/884457140.tcx.gz
798549298,"29 Nov 2016, 07:52:23",Morning Ride,Ride,,1888,9.31,29,false,,activities/884457162.tcx.gz
805434822,"18 Dec 2016, 09:09:27",Morning Ride,Ride,,12024,65.39,157,false,,activities/892224085.tcx.gz
812638446,"22 Dec 2016, 07:51:28",Morning Ride,Ride,,1853,9.25,21,false,,activities/900348667.tcx.gz
812638464,"22 Dec 2016, 14:45:45",Afternoon Ride,Ride,,2005,13.78,32,false,,activities/900348695.tcx.gz
812638513,"23 Dec 2016, 09:54:18",Morning Ride,Ride,,7290,34.78,67,false,,activities/900348723.tcx.gz
812638596,"27 Dec 2016, 08:14:58",Morning Ride,Ride,,12780,72.34,158,false,,activities/900348764.tcx.gz
818976324,"31 Dec 2016, 08:28:27",Morning Ride,Ride,,6963,49.55,,false,,activities/907274972.tcx.gz
827738348,"10 Jan 2017, 19:08:36",Evening Ride,Ride,,3912,22.01,57,false,,activities/916774116.tcx.gz
827766065,"7 Jan 2017, 11:26:55",Lunch Ride,Ride,,3040,20.17,66,false,,activities/916774084.tcx.gz
827766109,"7 Jan 2017, 07:56:37",Morning Ride,Ride,,12520,65.09,271,false,,activities/916774054.tcx.gz
829756655,"12 Jan 2017, 17:28:04",Afternoon Run,Run,,2762,8.05,54,false,,activities/918946986.fit.gz
831243697,"14 Jan 2017, 08:13:20",Morning Run,Run,,6386,17.05,84,false,,activities/920594616.fit.gz
832625787,"15 Jan 2017, 08:01:25",Morning Ride,Ride,,13810,78.12,136,false,,activities/922073806.tcx.gz
837527202,"19 Jan 2017, 19:52:00",Evening Run,Run,,2893,7.82,22,false,,activities/927612061.fit.gz
839152800,"20 Jan 2017, 13:38:57",Afternoon Ride,Ride,,5700,37.28,59,false,,activities/929411444.tcx.gz
839152806,"21 Jan 2017, 07:53:07",Morning Ride,Ride,,3655,23.49,47,false,,activities/929411469.tcx.gz
839152936,"21 Jan 2017, 09:04:18",Morning Ride,Ride,,12229,81.50,103,false,,activities/929411518.tcx.gz
840430661,"22 Jan 2017, 09:27:44",Morning Ride,Ride,,7771,41.94,63,false,,activities/930787582.tcx.gz
845119961,"26 Jan 2017, 17:32:45",Afternoon Run,Run,,3035,8.07,19,false,,activities/935841389.fit.gz
845983341,"27 Jan 2017, 13:42:02",Afternoon Ride,Ride,,7443,44.57,63,false,,activities/936782376.tcx.gz
846832140,"28 Jan 2017, 12:46:11",Lunch Ride,Ride,,0,0,,false,,activities/937726150.fit.gz
847242666,"28 Jan 2017, 16:17:25",Afternoon Ride,Ride,,5346,35.46,37,false,,activities/938151379.fit.gz
848449442,"29 Jan 2017, 09:04:05",Morning Ride,Ride,,25048,108.03,285,false,,activities/939473458.fit.gz
853853704,"3 Feb 2017, 14:25:39",Afternoon Ride,Ride,,8451,50.71,70,false,,activities/945312738.fit.gz
